INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C2_R2-C4_R3-C2.txt

Stacking Case (types read from header)
-------------------------------------
R1: C2 — m even > 2, n = 2
R2: C4 — m even > 2, n = 3
R3: C2 — m even > 2, n = 2

Example 1
  R1: m=8, n=2
  R2: m=6, n=3
  R3: m=4, n=2
  #Solutions: 54
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->1], R1[1->3]
      2. R3[0->0], R2[0->1], R1[1->5]
      3. R3[0->0], R2[0->1], R1[1->7]
      4. R3[0->0], R2[0->3], R1[3->1]
      5. R3[0->0], R2[0->3], R1[3->5]
      6. R3[0->0], R2[0->3], R1[3->7]
      7. R3[0->0], R2[0->5], R1[5->1]
      8. R3[0->0], R2[0->5], R1[5->3]
      9. R3[0->0], R2[0->5], R1[5->7]
     10. R3[0->2], R2[2->1], R1[1->3]
     11. R3[0->2], R2[2->1], R1[1->5]
     12. R3[0->2], R2[2->1], R1[1->7]
     13. R3[0->2], R2[2->3], R1[3->1]
     14. R3[0->2], R2[2->3], R1[3->5]
     15. R3[0->2], R2[2->3], R1[3->7]
     16. R3[0->2], R2[2->5], R1[5->1]
     17. R3[0->2], R2[2->5], R1[5->3]
     18. R3[0->2], R2[2->5], R1[5->7]
     19. R3[1->3], R2[3->0], R1[0->0]
     20. R3[1->3], R2[3->0], R1[0->2]
     21. R3[1->3], R2[3->0], R1[0->4]
     22. R3[1->3], R2[3->0], R1[0->6]
     23. R3[1->3], R2[3->2], R1[2->0]
     24. R3[1->3], R2[3->2], R1[2->4]
     25. R3[1->3], R2[3->2], R1[2->6]
     26. R3[1->3], R2[3->4], R1[4->0]
     27. R3[1->3], R2[3->4], R1[4->2]
     28. R3[1->3], R2[3->4], R1[4->6]
     29. R3[2->0], R2[0->1], R1[1->3]
     30. R3[2->0], R2[0->1], R1[1->5]
     31. R3[2->0], R2[0->1], R1[1->7]
     32. R3[2->0], R2[0->3], R1[3->1]
     33. R3[2->0], R2[0->3], R1[3->5]
     34. R3[2->0], R2[0->3], R1[3->7]
     35. R3[2->0], R2[0->5], R1[5->1]
     36. R3[2->0], R2[0->5], R1[5->3]
     37. R3[2->0], R2[0->5], R1[5->7]
     38. R3[3->1], R2[1->0], R1[0->0]
     39. R3[3->1], R2[1->0], R1[0->2]
     40. R3[3->1], R2[1->0], R1[0->4]
     41. R3[3->1], R2[1->0], R1[0->6]
     42. R3[3->1], R2[1->2], R1[2->0]
     43. R3[3->1], R2[1->2], R1[2->4]
     44. R3[3->1], R2[1->2], R1[2->6]
     45. R3[3->3], R2[3->0], R1[0->0]
     46. R3[3->3], R2[3->0], R1[0->2]
     47. R3[3->3], R2[3->0], R1[0->4]
     48. R3[3->3], R2[3->0], R1[0->6]
     49. R3[3->3], R2[3->2], R1[2->0]
     50. R3[3->3], R2[3->2], R1[2->4]
     51. R3[3->3], R2[3->2], R1[2->6]
     52. R3[3->3], R2[3->4], R1[4->0]
     53. R3[3->3], R2[3->4], R1[4->2]
     54. R3[3->3], R2[3->4], R1[4->6]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 6) -> t=(3, 0)
         R3: (0, 6) -> (0, 5)   (bridge down from R3_t to R2_s)
         R2: (0, 4) -> (1, 2)   (bridge down from R2_t to R1_s)
         R1: (1, 1) -> (3, 0)
      2. whole: s=(0, 6) -> t=(5, 0)
