INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C3_R2-C2_R3-C2.txt

Stacking Case (types read from header)
-------------------------------------
R1: C3 — m even > 2, n even > 2
R2: C2 — m even > 2, n = 2
R3: C2 — m even > 2, n = 2

Example 1
  R1: m=8, n=4
  R2: m=6, n=2
  R3: m=4, n=2
  #Solutions: 56
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->0], R1[0->0]
      2. R3[0->0], R2[0->0], R1[0->2]
      3. R3[0->0], R2[0->0], R1[0->4]
      4. R3[0->0], R2[0->0], R1[0->6]
      5. R3[0->0], R2[0->2], R1[2->0]
      6. R3[0->0], R2[0->2], R1[2->2]
      7. R3[0->0], R2[0->2], R1[2->4]
      8. R3[0->0], R2[0->2], R1[2->6]
      9. R3[0->0], R2[0->4], R1[4->0]
     10. R3[0->0], R2[0->4], R1[4->2]
     11. R3[0->0], R2[0->4], R1[4->4]
     12. R3[0->0], R2[0->4], R1[4->6]
     13. R3[0->2], R2[2->0], R1[0->0]
     14. R3[0->2], R2[2->0], R1[0->2]
     15. R3[0->2], R2[2->0], R1[0->4]
     16. R3[0->2], R2[2->0], R1[0->6]
     17. R3[0->2], R2[2->4], R1[4->0]
     18. R3[0->2], R2[2->4], R1[4->2]
     19. R3[0->2], R2[2->4], R1[4->4]
     20. R3[0->2], R2[2->4], R1[4->6]
     21. R3[1->3], R2[3->1], R1[1->1]
     22. R3[1->3], R2[3->1], R1[1->3]
     23. R3[1->3], R2[3->1], R1[1->5]
     24. R3[1->3], R2[3->1], R1[1->7]
     25. R3[1->3], R2[3->5], R1[5->1]
     26. R3[1->3], R2[3->5], R1[5->3]
     27. R3[1->3], R2[3->5], R1[5->5]
     28. R3[1->3], R2[3->5], R1[5->7]
     29. R3[2->0], R2[0->0], R1[0->0]
     30. R3[2->0], R2[0->0], R1[0->2]
     31. R3[2->0], R2[0->0], R1[0->4]
     32. R3[2->0], R2[0->0], R1[0->6]
     33. R3[2->0], R2[0->2], R1[2->0]
     34. R3[2->0], R2[0->2], R1[2->2]
     35. R3[2->0], R2[0->2], R1[2->4]
     36. R3[2->0], R2[0->2], R1[2->6]
     37. R3[2->0], R2[0->4], R1[4->0]
     38. R3[2->0], R2[0->4], R1[4->2]
     39. R3[2->0], R2[0->4], R1[4->4]
     40. R3[2->0], R2[0->4], R1[4->6]
     41. R3[3->1], R2[1->3], R1[3->1]
     42. R3[3->1], R2[1->3], R1[3->3]
     43. R3[3->1], R2[1->3], R1[3->5]
     44. R3[3->1], R2[1->3], R1[3->7]
     45. R3[3->1], R2[1->5], R1[5->1]
     46. R3[3->1], R2[1->5], R1[5->3]
     47. R3[3->1], R2[1->5], R1[5->5]
     48. R3[3->1], R2[1->5], R1[5->7]
     49. R3[3->3], R2[3->1], R1[1->1]
     50. R3[3->3], R2[3->1], R1[1->3]
     51. R3[3->3], R2[3->1], R1[1->5]
     52. R3[3->3], R2[3->1], R1[1->7]
     53. R3[3->3], R2[3->5], R1[5->1]
     54. R3[3->3], R2[3->5], R1[5->3]
     55. R3[3->3], R2[3->5], R1[5->5]
     56. R3[3->3], R2[3->5], R1[5->7]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 7) -> t=(0, 0)
         R3: (0, 7) -> (0, 6)   (bridge down from R3_t to R2_s)
         R2: (0, 5) -> (0, 4)   (bridge down from R2_t to R1_s)
         R1: (0, 3) -> (0, 0)
      2. whole: s=(0, 7) -> t=(2, 0)
         R3: (0, 7) -> (0, 6)   (bridge down from R3_t to R2_s)
