INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C3_R2-C5_R3-C9.txt

Stacking Case (types read from header)
-------------------------------------
R1: C3 — m even > 2, n even > 2
R2: C5 — m even > 2, n odd > 3
R3: C9 — m odd > 3, n odd

Example 1
  R1: m=8, n=4
  R2: m=6, n=5
  R3: m=5, n=5
  #Solutions: 108
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->1], R1[1->1]
      2. R3[0->0], R2[0->1], R1[1->3]
      3. R3[0->0], R2[0->1], R1[1->5]
      4. R3[0->0], R2[0->1], R1[1->7]
      5. R3[0->0], R2[0->3], R1[3->1]
      6. R3[0->0], R2[0->3], R1[3->3]
      7. R3[0->0], R2[0->3], R1[3->5]
      8. R3[0->0], R2[0->3], R1[3->7]
      9. R3[0->0], R2[0->5], R1[5->1]
     10. R3[0->0], R2[0->5], R1[5->3]
     11. R3[0->0], R2[0->5], R1[5->5]
     12. R3[0->0], R2[0->5], R1[5->7]
     13. R3[0->2], R2[2->1], R1[1->1]
     14. R3[0->2], R2[2->1], R1[1->3]
     15. R3[0->2], R2[2->1], R1[1->5]
     16. R3[0->2], R2[2->1], R1[1->7]
     17. R3[0->2], R2[2->3], R1[3->1]
     18. R3[0->2], R2[2->3], R1[3->3]
     19. R3[0->2], R2[2->3], R1[3->5]
     20. R3[0->2], R2[2->3], R1[3->7]
     21. R3[0->2], R2[2->5], R1[5->1]
     22. R3[0->2], R2[2->5], R1[5->3]
     23. R3[0->2], R2[2->5], R1[5->5]
     24. R3[0->2], R2[2->5], R1[5->7]
     25. R3[0->4], R2[4->1], R1[1->1]
     26. R3[0->4], R2[4->1], R1[1->3]
     27. R3[0->4], R2[4->1], R1[1->5]
     28. R3[0->4], R2[4->1], R1[1->7]
     29. R3[0->4], R2[4->3], R1[3->1]
     30. R3[0->4], R2[4->3], R1[3->3]
     31. R3[0->4], R2[4->3], R1[3->5]
     32. R3[0->4], R2[4->3], R1[3->7]
     33. R3[0->4], R2[4->5], R1[5->1]
     34. R3[0->4], R2[4->5], R1[5->3]
     35. R3[0->4], R2[4->5], R1[5->5]
     36. R3[0->4], R2[4->5], R1[5->7]
     37. R3[2->0], R2[0->1], R1[1->1]
     38. R3[2->0], R2[0->1], R1[1->3]
     39. R3[2->0], R2[0->1], R1[1->5]
     40. R3[2->0], R2[0->1], R1[1->7]
     41. R3[2->0], R2[0->3], R1[3->1]
     42. R3[2->0], R2[0->3], R1[3->3]
     43. R3[2->0], R2[0->3], R1[3->5]
     44. R3[2->0], R2[0->3], R1[3->7]
     45. R3[2->0], R2[0->5], R1[5->1]
     46. R3[2->0], R2[0->5], R1[5->3]
     47. R3[2->0], R2[0->5], R1[5->5]
     48. R3[2->0], R2[0->5], R1[5->7]
     49. R3[2->2], R2[2->1], R1[1->1]
     50. R3[2->2], R2[2->1], R1[1->3]
     51. R3[2->2], R2[2->1], R1[1->5]
     52. R3[2->2], R2[2->1], R1[1->7]
     53. R3[2->2], R2[2->3], R1[3->1]
     54. R3[2->2], R2[2->3], R1[3->3]
