INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C7_R2-C3_R3-C4.txt

Stacking Case (types read from header)
-------------------------------------
R1: C7 — m odd > 3, n = 2
R2: C3 — m even > 2, n even > 2
R3: C4 — m even > 2, n = 3

Example 1
  R1: m=7, n=2
  R2: m=6, n=4
  R3: m=4, n=3
  #Solutions: 64
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->1], R2[1->1], R1[1->3]
      2. R3[0->1], R2[1->1], R1[1->5]
      3. R3[0->1], R2[1->3], R1[3->1]
      4. R3[0->1], R2[1->3], R1[3->5]
      5. R3[0->1], R2[1->5], R1[5->1]
      6. R3[0->1], R2[1->5], R1[5->3]
      7. R3[0->3], R2[3->1], R1[1->3]
      8. R3[0->3], R2[3->1], R1[1->5]
      9. R3[0->3], R2[3->3], R1[3->1]
     10. R3[0->3], R2[3->3], R1[3->5]
     11. R3[0->3], R2[3->5], R1[5->1]
     12. R3[0->3], R2[3->5], R1[5->3]
     13. R3[1->0], R2[0->0], R1[0->0]
     14. R3[1->0], R2[0->0], R1[0->2]
     15. R3[1->0], R2[0->0], R1[0->4]
     16. R3[1->0], R2[0->0], R1[0->6]
     17. R3[1->0], R2[0->2], R1[2->0]
     18. R3[1->0], R2[0->2], R1[2->4]
     19. R3[1->0], R2[0->2], R1[2->6]
     20. R3[1->0], R2[0->4], R1[4->0]
     21. R3[1->0], R2[0->4], R1[4->2]
     22. R3[1->0], R2[0->4], R1[4->6]
     23. R3[1->2], R2[2->0], R1[0->0]
     24. R3[1->2], R2[2->0], R1[0->2]
     25. R3[1->2], R2[2->0], R1[0->4]
     26. R3[1->2], R2[2->0], R1[0->6]
     27. R3[1->2], R2[2->2], R1[2->0]
     28. R3[1->2], R2[2->2], R1[2->4]
     29. R3[1->2], R2[2->2], R1[2->6]
     30. R3[1->2], R2[2->4], R1[4->0]
     31. R3[1->2], R2[2->4], R1[4->2]
     32. R3[1->2], R2[2->4], R1[4->6]
     33. R3[2->1], R2[1->1], R1[1->3]
     34. R3[2->1], R2[1->1], R1[1->5]
     35. R3[2->1], R2[1->3], R1[3->1]
     36. R3[2->1], R2[1->3], R1[3->5]
     37. R3[2->1], R2[1->5], R1[5->1]
     38. R3[2->1], R2[1->5], R1[5->3]
     39. R3[2->3], R2[3->1], R1[1->3]
     40. R3[2->3], R2[3->1], R1[1->5]
     41. R3[2->3], R2[3->3], R1[3->1]
     42. R3[2->3], R2[3->3], R1[3->5]
     43. R3[2->3], R2[3->5], R1[5->1]
     44. R3[2->3], R2[3->5], R1[5->3]
     45. R3[3->0], R2[0->0], R1[0->0]
     46. R3[3->0], R2[0->0], R1[0->2]
     47. R3[3->0], R2[0->0], R1[0->4]
     48. R3[3->0], R2[0->0], R1[0->6]
     49. R3[3->0], R2[0->2], R1[2->0]
     50. R3[3->0], R2[0->2], R1[2->4]
     51. R3[3->0], R2[0->2], R1[2->6]
     52. R3[3->0], R2[0->4], R1[4->0]
     53. R3[3->0], R2[0->4], R1[4->2]
     54. R3[3->0], R2[0->4], R1[4->6]
     55. R3[3->2], R2[2->0], R1[0->0]
     56. R3[3->2], R2[2->0], R1[0->2]
     57. R3[3->2], R2[2->0], R1[0->4]
     58. R3[3->2], R2[2->0], R1[0->6]
     59. R3[3->2], R2[2->2], R1[2->0]
     60. R3[3->2], R2[2->2], R1[2->4]
     61. R3[3->2], R2[2->2], R1[2->6]
     62. R3[3->2], R2[2->4], R1[4->0]
     63. R3[3->2], R2[2->4], R1[4->2]
     64. R3[3->2], R2[2->4], R1[4->6]

  First few with global coordinates (up to 10 shown):
