INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples/R1-C7_R2-C7_R3-C7.txt

Stacking Case (types read from header)
-------------------------------------
R1: C7 — m odd > 3, n = 2
R2: C7 — m odd > 3, n = 2
R3: C7 — m odd > 3, n = 2

Example 1
  R1: m=9, n=2
  R2: m=7, n=2
  R3: m=5, n=2
  #Solutions: 128
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->0], R1[0->0]
      2. R3[0->0], R2[0->0], R1[0->2]
      3. R3[0->0], R2[0->0], R1[0->4]
      4. R3[0->0], R2[0->0], R1[0->6]
      5. R3[0->0], R2[0->0], R1[0->8]
      6. R3[0->0], R2[0->2], R1[2->0]
      7. R3[0->0], R2[0->2], R1[2->4]
      8. R3[0->0], R2[0->2], R1[2->6]
      9. R3[0->0], R2[0->2], R1[2->8]
     10. R3[0->0], R2[0->4], R1[4->0]
     11. R3[0->0], R2[0->4], R1[4->2]
     12. R3[0->0], R2[0->4], R1[4->6]
     13. R3[0->0], R2[0->4], R1[4->8]
     14. R3[0->0], R2[0->6], R1[6->0]
     15. R3[0->0], R2[0->6], R1[6->2]
     16. R3[0->0], R2[0->6], R1[6->4]
     17. R3[0->0], R2[0->6], R1[6->8]
     18. R3[0->2], R2[2->0], R1[0->0]
     19. R3[0->2], R2[2->0], R1[0->2]
     20. R3[0->2], R2[2->0], R1[0->4]
     21. R3[0->2], R2[2->0], R1[0->6]
     22. R3[0->2], R2[2->0], R1[0->8]
     23. R3[0->2], R2[2->4], R1[4->0]
     24. R3[0->2], R2[2->4], R1[4->2]
     25. R3[0->2], R2[2->4], R1[4->6]
     26. R3[0->2], R2[2->4], R1[4->8]
     27. R3[0->2], R2[2->6], R1[6->0]
     28. R3[0->2], R2[2->6], R1[6->2]
     29. R3[0->2], R2[2->6], R1[6->4]
     30. R3[0->2], R2[2->6], R1[6->8]
     31. R3[0->4], R2[4->0], R1[0->0]
     32. R3[0->4], R2[4->0], R1[0->2]
     33. R3[0->4], R2[4->0], R1[0->4]
     34. R3[0->4], R2[4->0], R1[0->6]
     35. R3[0->4], R2[4->0], R1[0->8]
     36. R3[0->4], R2[4->2], R1[2->0]
     37. R3[0->4], R2[4->2], R1[2->4]
     38. R3[0->4], R2[4->2], R1[2->6]
     39. R3[0->4], R2[4->2], R1[2->8]
     40. R3[0->4], R2[4->6], R1[6->0]
     41. R3[0->4], R2[4->6], R1[6->2]
     42. R3[0->4], R2[4->6], R1[6->4]
     43. R3[0->4], R2[4->6], R1[6->8]
     44. R3[1->3], R2[3->1], R1[1->3]
     45. R3[1->3], R2[3->1], R1[1->5]
     46. R3[1->3], R2[3->1], R1[1->7]
     47. R3[1->3], R2[3->5], R1[5->1]
     48. R3[1->3], R2[3->5], R1[5->3]
     49. R3[1->3], R2[3->5], R1[5->7]
     50. R3[2->0], R2[0->0], R1[0->0]
     51. R3[2->0], R2[0->0], R1[0->2]
     52. R3[2->0], R2[0->0], R1[0->4]
     53. R3[2->0], R2[0->0], R1[0->6]
     54. R3[2->0], R2[0->0], R1[0->8]
     55. R3[2->0], R2[0->2], R1[2->0]
     56. R3[2->0], R2[0->2], R1[2->4]
     57. R3[2->0], R2[0->2], R1[2->6]
     58. R3[2->0], R2[0->2], R1[2->8]
     59. R3[2->0], R2[0->4], R1[4->0]
     60. R3[2->0], R2[0->4], R1[4->2]
     61. R3[2->0], R2[0->4], R1[4->6]
     62. R3[2->0], R2[0->4], R1[4->8]
     63. R3[2->0], R2[0->6], R1[6->0]
