INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C4_R2-C2_R3-C9.txt

Stacking Case (types read from header)
-------------------------------------
R1: C4 — m odd > 3, n odd
R2: C2 — m even > 2, n = 2
R3: C9 — m even > 2, n = 3

Example 1
  R1: m=5, n=5
  R2: m=6, n=2
  R3: m=8, n=3
  #Solutions: 78
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[1->0], R2[0->0], R1[0->0]
      2. R3[1->0], R2[0->0], R1[0->2]
      3. R3[1->0], R2[0->0], R1[0->4]
      4. R3[1->0], R2[0->2], R1[2->0]
      5. R3[1->0], R2[0->2], R1[2->2]
      6. R3[1->0], R2[0->2], R1[2->4]
      7. R3[1->0], R2[0->4], R1[4->0]
      8. R3[1->0], R2[0->4], R1[4->2]
      9. R3[1->0], R2[0->4], R1[4->4]
     10. R3[1->2], R2[2->0], R1[0->0]
     11. R3[1->2], R2[2->0], R1[0->2]
     12. R3[1->2], R2[2->0], R1[0->4]
     13. R3[1->2], R2[2->4], R1[4->0]
     14. R3[1->2], R2[2->4], R1[4->2]
     15. R3[1->2], R2[2->4], R1[4->4]
     16. R3[3->0], R2[0->0], R1[0->0]
     17. R3[3->0], R2[0->0], R1[0->2]
     18. R3[3->0], R2[0->0], R1[0->4]
     19. R3[3->0], R2[0->2], R1[2->0]
     20. R3[3->0], R2[0->2], R1[2->2]
     21. R3[3->0], R2[0->2], R1[2->4]
     22. R3[3->0], R2[0->4], R1[4->0]
     23. R3[3->0], R2[0->4], R1[4->2]
     24. R3[3->0], R2[0->4], R1[4->4]
     25. R3[3->2], R2[2->0], R1[0->0]
     26. R3[3->2], R2[2->0], R1[0->2]
     27. R3[3->2], R2[2->0], R1[0->4]
     28. R3[3->2], R2[2->4], R1[4->0]
     29. R3[3->2], R2[2->4], R1[4->2]
     30. R3[3->2], R2[2->4], R1[4->4]
     31. R3[3->4], R2[4->0], R1[0->0]
     32. R3[3->4], R2[4->0], R1[0->2]
     33. R3[3->4], R2[4->0], R1[0->4]
     34. R3[3->4], R2[4->2], R1[2->0]
     35. R3[3->4], R2[4->2], R1[2->2]
     36. R3[3->4], R2[4->2], R1[2->4]
     37. R3[5->0], R2[0->0], R1[0->0]
     38. R3[5->0], R2[0->0], R1[0->2]
     39. R3[5->0], R2[0->0], R1[0->4]
     40. R3[5->0], R2[0->2], R1[2->0]
     41. R3[5->0], R2[0->2], R1[2->2]
     42. R3[5->0], R2[0->2], R1[2->4]
     43. R3[5->0], R2[0->4], R1[4->0]
     44. R3[5->0], R2[0->4], R1[4->2]
     45. R3[5->0], R2[0->4], R1[4->4]
     46. R3[5->2], R2[2->0], R1[0->0]
     47. R3[5->2], R2[2->0], R1[0->2]
     48. R3[5->2], R2[2->0], R1[0->4]
     49. R3[5->2], R2[2->4], R1[4->0]
     50. R3[5->2], R2[2->4], R1[4->2]
     51. R3[5->2], R2[2->4], R1[4->4]
     52. R3[5->4], R2[4->0], R1[0->0]
     53. R3[5->4], R2[4->0], R1[0->2]
     54. R3[5->4], R2[4->0], R1[0->4]
     55. R3[5->4], R2[4->2], R1[2->0]
     56. R3[5->4], R2[4->2], R1[2->2]
     57. R3[5->4], R2[4->2], R1[2->4]
     58. R3[7->0], R2[0->0], R1[0->0]
     59. R3[7->0], R2[0->0], R1[0->2]
     60. R3[7->0], R2[0->0], R1[0->4]
     61. R3[7->0], R2[0->2], R1[2->0]
     62. R3[7->0], R2[0->2], R1[2->2]
     63. R3[7->0], R2[0->2], R1[2->4]
     64. R3[7->0], R2[0->4], R1[4->0]
     65. R3[7->0], R2[0->4], R1[4->2]
     66. R3[7->0], R2[0->4], R1[4->4]
     67. R3[7->2], R2[2->0], R1[0->0]
     68. R3[7->2], R2[2->0], R1[0->2]
     69. R3[7->2], R2[2->0], R1[0->4]
     70. R3[7->2], R2[2->4], R1[4->0]
     71. R3[7->2], R2[2->4], R1[4->2]
