INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C7_R2-C5_R3-C4.txt

Stacking Case (types read from header)
-------------------------------------
R1: C7 — m even > 2, n = 3
R2: C5 — m even > 2, n odd > 3
R3: C4 — m odd > 3, n = 2

Example 1
  R1: m=4, n=3
  R2: m=6, n=5
  R3: m=7, n=2
  #Solutions: 64
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->0], R2[0->1], R1[1->0]
      2. R3[0->0], R2[0->1], R1[1->2]
      3. R3[0->0], R2[0->3], R1[3->0]
      4. R3[0->0], R2[0->3], R1[3->2]
      5. R3[0->2], R2[2->1], R1[1->0]
      6. R3[0->2], R2[2->1], R1[1->2]
      7. R3[0->2], R2[2->3], R1[3->0]
      8. R3[0->2], R2[2->3], R1[3->2]
      9. R3[0->4], R2[4->1], R1[1->0]
     10. R3[0->4], R2[4->1], R1[1->2]
     11. R3[0->4], R2[4->3], R1[3->0]
     12. R3[0->4], R2[4->3], R1[3->2]
     13. R3[1->3], R2[3->0], R1[0->1]
     14. R3[1->3], R2[3->0], R1[0->3]
     15. R3[1->3], R2[3->2], R1[2->1]
     16. R3[1->3], R2[3->2], R1[2->3]
     17. R3[1->5], R2[5->0], R1[0->1]
     18. R3[1->5], R2[5->0], R1[0->3]
     19. R3[1->5], R2[5->2], R1[2->1]
     20. R3[1->5], R2[5->2], R1[2->3]
     21. R3[2->0], R2[0->1], R1[1->0]
     22. R3[2->0], R2[0->1], R1[1->2]
     23. R3[2->0], R2[0->3], R1[3->0]
     24. R3[2->0], R2[0->3], R1[3->2]
     25. R3[2->4], R2[4->1], R1[1->0]
     26. R3[2->4], R2[4->1], R1[1->2]
     27. R3[2->4], R2[4->3], R1[3->0]
     28. R3[2->4], R2[4->3], R1[3->2]
     29. R3[3->1], R2[1->0], R1[0->1]
     30. R3[3->1], R2[1->0], R1[0->3]
     31. R3[3->1], R2[1->2], R1[2->1]
     32. R3[3->1], R2[1->2], R1[2->3]
     33. R3[3->5], R2[5->0], R1[0->1]
     34. R3[3->5], R2[5->0], R1[0->3]
     35. R3[3->5], R2[5->2], R1[2->1]
     36. R3[3->5], R2[5->2], R1[2->3]
     37. R3[4->0], R2[0->1], R1[1->0]
     38. R3[4->0], R2[0->1], R1[1->2]
     39. R3[4->0], R2[0->3], R1[3->0]
     40. R3[4->0], R2[0->3], R1[3->2]
     41. R3[4->2], R2[2->1], R1[1->0]
     42. R3[4->2], R2[2->1], R1[1->2]
     43. R3[4->2], R2[2->3], R1[3->0]
     44. R3[4->2], R2[2->3], R1[3->2]
     45. R3[5->1], R2[1->0], R1[0->1]
     46. R3[5->1], R2[1->0], R1[0->3]
     47. R3[5->1], R2[1->2], R1[2->1]
     48. R3[5->1], R2[1->2], R1[2->3]
     49. R3[5->3], R2[3->0], R1[0->1]
     50. R3[5->3], R2[3->0], R1[0->3]
     51. R3[5->3], R2[3->2], R1[2->1]
     52. R3[5->3], R2[3->2], R1[2->3]
     53. R3[6->0], R2[0->1], R1[1->0]
     54. R3[6->0], R2[0->1], R1[1->2]
     55. R3[6->0], R2[0->3], R1[3->0]
     56. R3[6->0], R2[0->3], R1[3->2]
